,date,sales
0,2013-01-01,13696
1,2013-01-02,13678
2,2013-01-03,14488
3,2013-01-04,15677
4,2013-01-05,16237
5,2013-01-06,17291
6,2013-01-07,11769
7,2013-01-08,13560
8,2013-01-09,13878
9,2013-01-10,14642
10,2013-01-11,15633
11,2013-01-12,16679
12,2013-01-13,17741
13,2013-01-14,11746
14,2013-01-15,13625
15,2013-01-16,13591
16,2013-01-17,14587
17,2013-01-18,15495
18,2013-01-19,16294
19,2013-01-20,17612
20,2013-01-21,11709
21,2013-01-22,13724
22,2013-01-23,13613
23,2013-01-24,14472
24,2013-01-25,15640
25,2013-01-26,16561
26,2013-01-27,17579
27,2013-01-28,11848
28,2013-01-29,13724
29,2013-01-30,13391
30,2013-01-31,14724
31,2013-02-01,17473
32,2013-02-02,18323
33,2013-02-03,19544
34,2013-02-04,12998
35,2013-02-05,14956
36,2013-02-06,15124
37,2013-02-07,16112
38,2013-02-08,17450
39,2013-02-09,18425
40,2013-02-10,19501
41,2013-02-11,12961
42,2013-02-12,15154
43,2013-02-13,15274
44,2013-02-14,16379
45,2013-02-15,17563
46,2013-02-16,18428
47,2013-02-17,19502
48,2013-02-18,12858
49,2013-02-19,15359
50,2013-02-20,14909
51,2013-02-21,16329
52,2013-02-22,17393
53,2013-02-23,18436
54,2013-02-24,19482
55,2013-02-25,13058
56,2013-02-26,15184
57,2013-02-27,15014
58,2013-02-28,16228
59,2013-03-01,20978
60,2013-03-02,22094
61,2013-03-03,23260
62,2013-03-04,15710
63,2013-03-05,18189
64,2013-03-06,18435
65,2013-03-07,19310
66,2013-03-08,20755
67,2013-03-09,22054
68,2013-03-10,23252
69,2013-03-11,15323
70,2013-03-12,18029
71,2013-03-13,18413
72,2013-03-14,19395
73,2013-03-15,20663
74,2013-03-16,22144
75,2013-03-17,23338
76,2013-03-18,15583
77,2013-03-19,18235
78,2013-03-20,18097
79,2013-03-21,19405
80,2013-03-22,20812
81,2013-03-23,22108
82,2013-03-24,23287
83,2013-03-25,15647
84,2013-03-26,18308
85,2013-03-27,18276
86,2013-03-28,19742
87,2013-03-29,20711
88,2013-03-30,22292
89,2013-03-31,23537
90,2013-04-01,18204
91,2013-04-02,21218
92,2013-04-03,21125
93,2013-04-04,22859
94,2013-04-05,24180
95,2013-04-06,25805
96,2013-04-07,27172
97,2013-04-08,18005
98,2013-04-09,21176
99,2013-04-10,21197
100,2013-04-11,22975
101,2013-04-12,24183
102,2013-04-13,25758
103,2013-04-14,27389
104,2013-04-15,18080
105,2013-04-16,21429
106,2013-04-17,21209
107,2013-04-18,22838
108,2013-04-19,24077
109,2013-04-20,25553
110,2013-04-21,27437
111,2013-04-22,18415
112,2013-04-23,21445
113,2013-04-24,21422
114,2013-04-25,22607
115,2013-04-26,24303
116,2013-04-27,25379
117,2013-04-28,27510
118,2013-04-29,18025
119,2013-04-30,21299
120,2013-05-01,22967
121,2013-05-02,24553
122,2013-05-03,25996
123,2013-05-04,27754
124,2013-05-05,29338
125,2013-05-06,19464
126,2013-05-07,22803
127,2013-05-08,22901
128,2013-05-09,24404
129,2013-05-10,25964
130,2013-05-11,27518
131,2013-05-12,28968
132,2013-05-13,19253
133,2013-05-14,22911
134,2013-05-15,22831
135,2013-05-16,24323
136,2013-05-17,25786
137,2013-05-18,27575
138,2013-05-19,29146
139,2013-05-20,19467
140,2013-05-21,22750
141,2013-05-22,22993
142,2013-05-23,24478
143,2013-05-24,25950
144,2013-05-25,27828
145,2013-05-26,29595
146,2013-05-27,19470
147,2013-05-28,22875
148,2013-05-29,22979
149,2013-05-30,24310
150,2013-05-31,26092
151,2013-06-01,29220
152,2013-06-02,31279
153,2013-06-03,20628
154,2013-06-04,24038
155,2013-06-05,24326
156,2013-06-06,26193
157,2013-06-07,27734
158,2013-06-08,29487
159,2013-06-09,30967
160,2013-06-10,20799
161,2013-06-11,24653
162,2013-06-12,24315
163,2013-06-13,25859
164,2013-06-14,27635
165,2013-06-15,29396
166,2013-06-16,31206
167,2013-06-17,20532
168,2013-06-18,24342
169,2013-06-19,24155
170,2013-06-20,26128
171,2013-06-21,27667
172,2013-06-22,29464
173,2013-06-23,31470
174,2013-06-24,20904
175,2013-06-25,24115
176,2013-06-26,24449
177,2013-06-27,26341
178,2013-06-28,27590
179,2013-06-29,29449
180,2013-06-30,31256
181,2013-07-01,21997
182,2013-07-02,25802
183,2013-07-03,25903
184,2013-07-04,27624
185,2013-07-05,29418
186,2013-07-06,31178
187,2013-07-07,32949
188,2013-07-08,22288
189,2013-07-09,25917
190,2013-07-10,25728
191,2013-07-11,27977
192,2013-07-12,29650
193,2013-07-13,31540
194,2013-07-14,33113
195,2013-07-15,22020
196,2013-07-16,25945
197,2013-07-17,25664
198,2013-07-18,27618
199,2013-07-19,29734
200,2013-07-20,31281
201,2013-07-21,33150
202,2013-07-22,22060
203,2013-07-23,25682
204,2013-07-24,26036
205,2013-07-25,27682
206,2013-07-26,29585
207,2013-07-27,31681
208,2013-07-28,33216
209,2013-07-29,21987
210,2013-07-30,25873
211,2013-07-31,25624
212,2013-08-01,24052
213,2013-08-02,26159
214,2013-08-03,27866
215,2013-08-04,29301
216,2013-08-05,19634
217,2013-08-06,22740
218,2013-08-07,22455
219,2013-08-08,24354
220,2013-08-09,25862
221,2013-08-10,27482
222,2013-08-11,29260
223,2013-08-12,19570
224,2013-08-13,22645
225,2013-08-14,22727
226,2013-08-15,24376
227,2013-08-16,26232
228,2013-08-17,27887
229,2013-08-18,29179
230,2013-08-19,19336
231,2013-08-20,22855
232,2013-08-21,22736
233,2013-08-22,24523
234,2013-08-23,25735
235,2013-08-24,27768
236,2013-08-25,28990
237,2013-08-26,19441
238,2013-08-27,22853
239,2013-08-28,22831
240,2013-08-29,24235
241,2013-08-30,26195
242,2013-08-31,27482
243,2013-09-01,27346
244,2013-09-02,18572
245,2013-09-03,21395
246,2013-09-04,21127
247,2013-09-05,22733
248,2013-09-06,24393
249,2013-09-07,25892
250,2013-09-08,27320
251,2013-09-09,18130
252,2013-09-10,21507
253,2013-09-11,21221
254,2013-09-12,22751
255,2013-09-13,24291
256,2013-09-14,25894
257,2013-09-15,27255
258,2013-09-16,18425
259,2013-09-17,20864
260,2013-09-18,21368
261,2013-09-19,23037
262,2013-09-20,24230
263,2013-09-21,25981
264,2013-09-22,27439
265,2013-09-23,18259
266,2013-09-24,21223
267,2013-09-25,21390
268,2013-09-26,22589
269,2013-09-27,24295
270,2013-09-28,25408
271,2013-09-29,27363
272,2013-09-30,18209
273,2013-10-01,19640
274,2013-10-02,19853
275,2013-10-03,21059
276,2013-10-04,22494
277,2013-10-05,23892
278,2013-10-06,25318
279,2013-10-07,17034
280,2013-10-08,19624
281,2013-10-09,19519
282,2013-10-10,21478
283,2013-10-11,22409
284,2013-10-12,23836
285,2013-10-13,25438
286,2013-10-14,16791
287,2013-10-15,19615
288,2013-10-16,19666
289,2013-10-17,21081
290,2013-10-18,22378
291,2013-10-19,24083
292,2013-10-20,25209
293,2013-10-21,16765
294,2013-10-22,19694
295,2013-10-23,19642
296,2013-10-24,21126
297,2013-10-25,22530
298,2013-10-26,23745
299,2013-10-27,25247
300,2013-10-28,16782
301,2013-10-29,19700
302,2013-10-30,19854
303,2013-10-31,21085
304,2013-11-01,24277
