txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-07-27,False,3433.5,3433.5,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5,2001.05,2423.3,2977.8,3000.0,2780.8
2020-07-28,False,1990.0,1990.0,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5,2001.05,2423.3,2977.8,3000.0
2020-07-29,False,1897.5,1897.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5,2001.05,2423.3,2977.8
2020-07-30,False,3244.5,3244.5,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5,2001.05,2423.3
2020-07-31,False,3225.0,3225.0,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5,2001.05
2020-08-01,False,2413.5,2413.5,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0,2955.5
2020-08-02,False,3237.0,3237.0,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25,3033.0
2020-08-03,False,1788.25,1788.25,1788.25,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75,3362.25
2020-08-04,False,2218.0,2218.0,2218.0,1788.25,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5,2431.75
2020-08-05,False,2780.75,2780.75,2780.75,2218.0,1788.25,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5,2644.5
2020-08-06,False,3115.05,3115.05,3115.05,2780.75,2218.0,1788.25,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5,2300.5
2020-08-07,False,2274.0,2274.0,2274.0,3115.05,2780.75,2218.0,1788.25,3237.0,2413.5,3225.0,3244.5,1897.5,1990.0,3433.5,2197.5
