txn_date,amount,amount_diff,lag_1
2020-07-31,3225.0,-19.5,3225.0
2020-08-01,2413.5,-811.5,2413.5
2020-08-02,3237.0,823.5,3237.0
2020-08-05,2780.75,-456.25,2780.75
2020-08-06,3115.05,334.3000000000002,3115.05
2020-08-09,2690.0,-425.0500000000002,2690.0
2020-08-10,2953.55,263.5500000000002,2953.55
2020-08-11,2409.5,-544.0500000000002,2409.5
2020-08-13,2734.5,325.0,2734.5
2020-08-14,2624.25,-110.25,2624.25
2020-08-15,3255.25,631.0,3255.25
2020-08-16,2814.5,-440.75,2814.5
2020-08-18,2905.55,91.05000000000018,2905.55
2020-08-21,2572.05,-333.5,2572.05
2020-08-22,3365.5,793.4499999999998,3365.5
2020-08-25,2579.0,-786.5,2579.0
2020-08-26,2764.75,185.75,2764.75
2020-08-27,2558.0,-206.75,2558.0
2020-08-31,3159.0,601.0,3159.0
2020-09-02,2452.5,-706.5,2452.5
2020-09-03,3418.5,966.0,3418.5
2020-09-04,2591.0,-827.5,2591.0
2020-09-06,2720.0,129.0,2720.0
2020-09-11,2457.0,-263.0,2457.0
2020-09-15,3354.85,897.8499999999999,3354.85
2020-09-16,3265.5,-89.34999999999991,3265.5
2020-09-17,2839.25,-426.25,2839.25
2020-09-19,3311.5,472.25,3311.5
2020-09-20,2670.25,-641.25,2670.25
2020-09-24,2501.25,-169.0,2501.25
2020-09-25,3080.5,579.25,3080.5
2020-09-26,3256.75,176.25,3256.75
2020-09-28,3304.75,48.0,3304.75
2020-10-02,3324.5,19.75,3324.5
2020-10-03,3105.0,-219.5,3105.0
2020-10-04,2769.0,-336.0,2769.0
2020-10-09,2642.05,-126.94999999999982,2642.05
2020-10-10,2649.25,7.199999999999818,2649.25
2020-10-11,2733.55,84.30000000000018,2733.55
2020-10-13,3291.5,557.9499999999998,3291.5
2020-10-14,2549.0,-742.5,2549.0
2020-10-19,2801.25,252.25,2801.25
2020-10-21,2781.55,-19.699999999999818,2781.55
2020-10-23,3149.25,367.6999999999998,3149.25
2020-10-24,2580.25,-569.0,2580.25
2020-10-25,3355.75,775.5,3355.75
2020-10-27,2991.3,-364.4499999999998,2991.3
2020-10-30,2914.55,-76.75,2914.55
2020-11-01,2819.0,-95.55000000000018,2819.0
2020-11-02,2518.25,-300.75,2518.25
2020-11-05,2509.0,-9.25,2509.0
2020-11-07,3160.0,651.0,3160.0
2020-11-12,3349.25,189.25,3349.25
